smile,Tm/K,Tb/K,density/(g/cm3),flash_point/K,NHOC/(MJ/kg),Isp/s
C1CC2(CC2)C2CC1C2,239.202,443.15,0.99,311.493,43.2233076,342.1648439
C1CC2(CC2)CC2CC12,239.202,443.15,0.99,311.493,44.06571084,345.4830753
C1CC23CCC2(C1)CC3,221.34,407.643,1.095,303.075,43.26323119022262,342.32282920639426
C1CC23CCCC2(C1)C3,221.34,450.65,1,303.075,42.70028274,340.0883554
C1CC2C(C1)C1CCC21,255.132,434.992,1.027,319.365,43.293789550973536,342.44370526742006
C1CC2C1C13CCC21C3,229.54,401.332,1.218,301.204,44.20846956939751,349.25230424323814
C1CC2C1C1C3CC3C21,261.689,429.42,1.144,318.078,43.38407057531024,345.9805532441198
C1CC2C1C21C2CCC21,246.489,442.04999999999995,1.14,309.932,43.85033103,347.8347584
C1CC2C1CC1C3C2C13,261.689,433.84999999999997,1.169,318.078,43.0774122,344.7556107
C1CC2C3C1C1CC1C23,261.689,433.84999999999997,1.169,318.078,42.63496825,342.9805653
C1CC2C3C1C3C21CC1,246.489,442.04999999999995,1.14,309.932,42.9889365,344.4013859
C1CC2C3C1CC1C2C13,261.689,429.42,1.144,318.078,42.29964184,341.6291221
C1CC2C3CC1C1C2C31,261.689,433.84999999999997,1.169,318.078,42.23994772,341.38798
C1CC2C3CC4C1C4C23,261.689,433.84999999999997,1.169,318.078,42.23221849,341.3567443
C1CC2CC(C1)C1CC21,222.14999999999998,318.15,1.1,319.365,42.91853154,340.9563739
C1CC2CC2C2(C1)CC2,239.202,443.15,0.99,311.493,44.07732827,345.5286137
C1CC2CC2CCC2CC2C1,282.262,483.45,0.955,350.455,43.37355608,341.6496202
C1CC2CC3(CC3)C2C1,239.202,443.15,0.99,311.493,43.18179837,342.0005065
C1CC2CC3C(C1)C3C2,255.132,435.75,1.004,319.365,42.52922953,339.4064913
C1CC2CC3CCC1CC3C2,282.262,483.45,0.955,350.455,42.46012344,338.0329639
C1CC2CC3CCC1CCC23,282.262,483.45,0.955,350.455,42.92104007,339.8627333
C1CC2CC3CCC2CC1C3,282.262,483.45,0.955,350.455,42.27539701,337.2968416
C1CC2CC3CCC2CC3C1,282.262,483.45,0.955,350.455,42.4265384,337.8992491
C1CC2CC3CCC3CC2C1,282.262,483.45,0.955,350.455,42.67759659,338.8975304
C1CC2CC3CCCC2C3C1,282.262,483.45,0.955,350.455,42.44241401,337.9624625
C1CC2CC3CCCC3C2C1,282.262,483.45,0.955,350.455,42.3014372,337.4007072
C1CC2CCC1C1CCC2C1,483.15,483.45,0.955,350.455,42.64216027,338.7568035
C1CC2CCC2C2CCC2C1,282.262,483.45,0.955,350.455,43.14612792,340.7527273
C1CC2CCC3C(C1)C23,255.132,435.75,1.004,319.365,42.66080068,339.9310907
C1CC2CCC3CC1CC2C3,282.262,483.45,0.955,350.455,42.31951339,337.4727883
C1CC2CCC3CC1CCC23,282.262,483.45,0.955,350.455,42.46655053,338.0585466
C1CC2CCC3CC3CC2C1,282.262,481.642,1.054,350.455,42.81764776,339.4531395
C1CC2CCC3CC3CCC12,282.262,483.45,0.955,350.455,43.45466315,341.9689076
C1CC2CCC3CCC1CC23,282.262,483.45,0.955,350.455,42.26498792,337.2553143
C1CC2CCC3CCC2C3C1,282.262,483.45,0.955,350.455,42.22644284,337.1014931
C1CC2CCC3CCC3C2C1,282.262,481.642,1.054,350.455,42.78165256,339.3104268
C1CC2CCC3CCCC23C1,269.132,489.84999999999997,0.96,344.159,42.22953063,337.1138181
C1CC2CCCC(C1)CCC2,276.575,487.15,0.864,351.031,43.5767233,340.0324308
C1CC2CCCC23CCC3C1,269.132,489.84999999999997,0.96,344.159,42.62813244,338.7010791
C1CC2CCCC2C2CC2C1,282.262,483.45,0.955,350.455,42.73229671,339.1146444
C1CCC2(C1)CC21CC1,221.34,351.15,1,303.075,43.41401382,342.9188485
C1CCC2(CC1)CCCCC2,262.904,475.588,1.006,344.904,43.03506098127572,337.91250673404227
C1CCC23CC2CCCC3C1,269.132,489.84999999999997,0.96,344.159,42.74801163,339.1769938
C1CCC23CCC2(C1)C3,221.34,450.65,1,303.075,43.1495616,341.8728248
C1CCC23CCC2CCC3C1,269.132,470.955,1.086,344.159,42.58113434,338.5143164
C1CCC23CCCC2CC3C1,269.132,489.84999999999997,0.96,344.159,42.66783019,338.8587514
C1CCC23CCCCC2C3C1,269.132,489.84999999999997,0.96,344.159,42.72969093,339.1043047
C1CCC2C3CC(C1)C23,255.132,435.75,1.004,319.365,43.25472836,342.289188
C1CCC2C3CCCC2C3C1,282.262,483.45,0.955,350.455,42.7753128,339.2852848
C1CCC2CC2C2CCC2C1,282.262,483.45,0.955,350.455,43.26242681,341.2116618
C1CCC2CC3CC3C2CC1,282.262,481.642,1.054,350.455,42.78778275,339.3347358
C1CCC2CC3CC3CC2C1,282.262,483.45,0.955,350.455,42.85369535,339.5959999
C1CCC2CCC(CC1)CC2,276.575,487.15,0.864,351.031,43.52979562,339.8492914
C1CCC2CCCC(C1)CC2,276.575,487.15,0.864,351.031,43.95624642,341.5099444
C1CCC2CCCC(CC1)C2,276.575,487.15,0.864,351.031,43.30043075,338.952751
C1CCC2CCCCC(C1)C2,276.575,487.15,0.864,351.031,44.36923761,343.1105231
C1CCCC2(CC1)CCCC2,262.904,493.04999999999995,0.87,344.904,43.17522361,338.4623399
C1CCCC2CCC(CC1)C2,276.575,487.15,0.864,351.031,43.43476835,339.4781365
C1CCCC2CCCCC2CCC1,300.312,530.05,0.852,376.941,43.32523243,338.6892113
C1CCCCC2(CCC1)CC2,262.904,493.04999999999995,0.87,344.904,43.94757435,341.4762547
C1CCCCC2CCC2CCCC1,300.312,530.05,0.852,376.941,43.78235153,340.4712567
C1CCCCC2CCCC2CCC1,300.312,523.909,0.989,376.941,43.41703171,339.0478357
C1CCCCCC2CC2CCCC1,300.312,530.05,0.852,376.941,43.69650435,340.1372999
C1CCCCCCCCCCCCCC1,318.15,334.45,0.8364,399.51,43.92671082,339.0811987
C12C3C1C1C4C1C3C24,253.642,394.58,1.294,297.561,42.70518226657599,348.3801249643067
C12C3C1C1C4C1C4C23,253.642,408.25,1.249,297.561,43.47295547,351.4978427
C12C3C4C1C1C2C3C41,403.15,406.15,1.577,297.561,44.15674757,354.251436
C1C2C1C1CCC2C12CC2,261.492,465.54999999999995,1.1,327.47,42.67143744,342.1607773
C1C2CC2C2CC2C2CC12,275.288,458.04999999999995,1.114,334.682,43.58416023,345.8007482
C1C2CC3C1C1CC2C3C1,433.15,458.04999999999995,1.114,334.682,41.70452365,338.2619669
C1C2CC3C1C1CCC2C13,275.288,458.04999999999995,1.114,334.682,41.80113134,338.6535288
C1C2CC3C1C1CCC3C21,275.288,458.04999999999995,1.114,334.682,41.92534683,339.1563239
C1C2CC3C4C(C12)C34,246.708,401.083,1.122,299.522,43.09541665,346.0673932
C1C2CC3C4CC2CC1C34,275.288,458.04999999999995,1.114,334.682,41.81951046,338.7279702
C1C2CC3CC1C1CC2C31,275.288,454.554,1.156,334.682,41.72290277,338.3364945
C1C2CC3CC1CC(C2)C3,478.15,460.25,1.07,335.644,41.734793,335.6200731
C1C2CC3CC4C1CC2C34,275.288,458.04999999999995,1.114,334.682,41.79428805,338.6258071
C1CC12CCC1(CC1)CC2,303.15,474.04999999999995,0.98,321.228,43.29153038,341.8222001
C1CC2(C1)C1CCC2CC1,254.925,467.15,0.97,328.649,42.76788692,339.748613
C1CC2(C1)CC1CCC2C1,254.925,467.15,0.97,328.649,42.76885007,339.7524386
C1CC2(C1)CCC1CC2C1,254.925,467.15,0.97,328.649,43.24447457,341.6363774
C1CC2(C1)CCC21CCC1,238.971,474.04999999999995,0.98,321.228,43.69023744,343.3926524
